,precio_m2,superficie_total,categoria,dormitorios,baños,cocheras,colonia,alcaldia,dist_metro
125,96354.16666666669,192.0,departamento,3.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
126,150000.0,110.0,casa,4.0,2.0,0.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,936.7681973086221
127,163755.45851528386,916.0,casa,,,,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
128,140000.0,50.0,casa,3.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,589.3534261389303
129,7433.006976744186,430.0,casa,4.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,936.7681973086221
130,3366.2280701754385,456.0,casa,4.0,3.0,4.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,936.7681973086221
131,3214.890186915888,428.0,casa,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,936.7681973086221
132,4119.762365591398,465.0,casa,5.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,682.9303881429156
133,8991.065759637188,441.0,casa,4.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,936.7681973086221
134,8521.897810218978,274.0,casa,3.0,2.0,0.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,814.3990047131056
135,4425.837320574163,418.0,casa,2.0,2.5,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,936.7681973086221
136,12906.894594594594,370.0,casa,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,589.3534261389303
137,108510.63829787234,235.0,casa,4.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,936.7681973086221
138,175000.0,320.0,casa,7.0,3.0,,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,936.7681973086221
139,10371.99124726477,457.0,casa,5.0,4.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,681.3837383552902
140,111162.7906976744,215.0,casa,4.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,936.7681973086221
141,6764.597042513863,541.0,casa,4.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,936.7681973086221
142,13083.701369863014,365.0,casa,6.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,315.1361614682133
143,3837.5,400.0,casa,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,591.6686832596536
144,169708.0291970803,274.0,casa,3.0,2.0,0.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,814.3990047131056
145,121951.21951219512,246.0,casa,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,936.7681973086221
146,82978.72340425532,235.0,casa,2.0,2.5,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,936.7681973086221
147,114583.33333333331,480.0,casa,4.0,4.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,831.9128075172578
148,12048.192771084336,166.0,casa,4.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,936.7681973086221
149,3366.6710532087554,455.94,casa,7.0,5.0,5.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,589.3534261389303
150,5434.782608695652,368.0,casa,,,,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,764.2843862251005
151,158256.88073394494,436.0,casa,7.0,3.0,5.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,480.0299986629651
152,6666.666666666667,600.0,casa,5.0,3.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,589.3534261389303
153,143805.30973451328,452.0,casa,4.0,4.0,0.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,936.7681973086221
154,113018.8679245283,530.0,casa,6.0,2.0,6.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,418.33372690183865
155,6944.444444444444,288.0,casa,9.0,,4.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,936.7681973086221
156,1333.3333333333333,900.0,departamento,3.0,3.0,3.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4928.3529965394355
157,2375.0,1200.0,departamento,4.0,4.0,5.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4020.531988300358
158,55476.52916073969,703.0,departamento,3.0,3.0,4.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4328.0667085480345
159,42639.59390862944,985.0,departamento,4.0,5.0,6.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4552.598865182214
160,55476.52916073969,703.0,departamento,3.0,3.0,4.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4328.0667085480345
161,56818.181818181816,440.0,departamento,3.0,3.0,4.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5782.397100444482
162,41253.968253968254,630.0,departamento,3.0,2.0,4.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5336.758387037084
163,4777.594728171334,607.0,departamento,3.0,4.0,5.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5829.593338175353
164,33148.148148148146,540.0,departamento,3.0,2.0,3.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4275.96222730837
165,4777.594728171334,607.0,departamento,3.0,4.0,5.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5829.593338175353
166,42639.59390862944,985.0,departamento,4.0,5.0,6.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4552.598865182214
167,26207.605344296,973.0,departamento,6.0,6.0,4.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5638.095811175748
168,34375.0,480.0,departamento,4.0,3.0,2.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4425.569975277315
169,35080.645161290326,744.0,departamento,3.0,3.0,2.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4963.641057322798
170,1938.202247191012,1780.0,departamento,6.0,6.0,8.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,3848.678763225901
171,38191.48936170213,470.0,departamento,3.0,3.0,5.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5003.054466027106
172,31471.135940409684,537.0,departamento,3.0,2.0,3.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4294.494466091718
173,45937.5,800.0,departamento,4.0,4.0,4.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5015.339437316075
174,33916.42371234208,1029.0,departamento,3.0,3.0,4.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5213.957977521392
175,3300.0,1000.0,departamento,3.0,4.0,4.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4591.462791037131
176,50675.67567567567,1184.0,departamento,4.0,6.0,4.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4771.758108536398
177,45937.5,800.0,departamento,4.0,4.0,4.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5015.339437316075
178,2709.2113184828418,1661.0,departamento,4.0,6.0,5.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5003.054466027106
179,42222.22222222222,450.0,departamento,4.0,4.0,3.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4314.35500507124
180,37288.13559322034,590.0,departamento,3.0,5.0,4.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4508.658507638941
181,37622.14983713355,921.0,departamento,4.0,3.0,4.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4508.082852450314
182,45000.0,400.0,departamento,3.0,3.0,2.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5502.723471590045
183,2074.435631482612,1639.0,departamento,3.0,3.0,15.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,4797.011841250683
184,40032.154340836016,622.0,departamento,3.0,10.0,5.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,3977.489339902753
185,57142.857142857145,875.0,departamento,4.0,5.0,7.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5003.054466027106
186,44747.08171206226,257.0,departamento,3.0,3.0,3.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5268.860484586193
187,57471.26436781609,435.0,departamento,3.0,3.0,4.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5026.665609099899
188,50675.67567567567,1184.0,departamento,4.0,6.0,4.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5003.054466027106
189,31804.73372781065,676.0,departamento,3.0,3.0,3.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5001.815256886795
190,1375.0,1600.0,departamento,4.0,4.0,6.0,BOSQUES DE LAS LOMAS,MIGUEL HIDALGO,5336.758387037084
