,price,square_meters,bedrooms,bathrooms,parking_spaces,address,description,colony,latitude,longitude
1141,2526879,2526879,2,1,1,STA CRUZ DE LAS SALINAS,"DEPARTAMENTO EN PREVENTA EN CORINTIO VALLEJO, SANTA CRUZ DE LAS SALINAS, 2 RECAMARAS.",LAS SALINAS,19.4875623399,19.4875623399
1142,2637531,2637531,2,2,1,STA CRUZ DE LAS SALINAS,"DEPARTAMENTO EN PREVENTA EN CORINTIO VALLEJO, SANTA CRUZ DE LAS SALINAS, 2 RECAMARAS.",LAS SALINAS,19.4875623399,19.4875623399
1143,3859253,3859253,2,2,2,NEXTENGO,"DEPARTAMENTO EN PREVENTA EN CORINTIO CLAVERIA, NEXTENGO, 2 RECAMARAS",CLAVERIA,19.4660515311,19.4660515311
1144,3235691,3235691,2,1,1,NEXTENGO,"DEPARTAMENTO EN PREVENTA EN CORINTIO CLAVERIA, NEXTENGO, 2 RECAMARAS.",CLAVERIA,19.4660515311,19.4660515311
1145,2378159,2378159,2,2,1,GUADALUPE TEPEYAC,"DEPARTAMENTO EN PREVENTA EN VIDA TEPEYAC, GUADALUPE TEPEYAC, 2 RECAMARAS.",GUADALUPE,19.2137218593,19.2137218593
1146,3700000,3700000,3,3,2,MILITAR MARTE,RESIDENCIAL LA VIGA,MILITAR MARTE,19.3810242212,19.3810242212
1147,4650623,4650623,3,3,2,STA CRUZ DE LAS SALINAS,"DEPARTAMENTO EN PREVENTA EN CORINTIO VALLEJO, SANTA CRUZ DE LAS SALINAS, 3 RECAMARAS.",LAS SALINAS,19.4875623399,19.4875623399
1148,4085900,4085900,3,2,2,SAN JUAN TEPEPAN,"DEPARTAMENTO EN VENTA EN ARBOLADA TEPEPAN EN COL. TEPEPAN,  3 RECAMARAS.",SAN JUAN,19.3783640536,19.3783640536
1150,2000000,2000000,5,3,0,LAS PENAS,"VENTA DE CASA EN LA POLVORILLA, IZTAPALAPA, CIUDAD DE MEXICO",LA POLVORILLA,19.3211531804,19.3211531804
1151,1200000,1200000,3,0,0,VALLE GOMEZ,DEPARTAMENTO EN VENTA,VALLE GOMEZ,19.4568685341,19.4568685341
1154,50000000,50000000,3,3,4+,LOMAS DE CHAPULTEPEC,HERMOSA CASA DE REVISTA EN LOMAS DE CHAPULTEPEC,LOMAS DE CHAPULTEPEC,19.4228411174,19.4228411174
1155,5650000,5650000,3,3,3,ALCANTARILLA,CASA EN CONDOMINIO PRIVADA DE LOS CEDROS,LOS CEDROS,19.3636765984,19.3636765984
1156,60000000,60000000,4,4+,4+,JARDINES DEL PEDREGAL,"CASA EN VENTA  EN JARDINES DEL PEDREGAL , ALVARO OBREGON CDMX",JARDINES DEL PEDREGAL,19.3059286486,19.3059286486
1164,7000000,7000000,2,2,2,LETRAN VALLE,DEPARTAMENTO EN VENTA BENITO JUAREZ DEL VALLE,BENITO JUAREZ,19.3296058799,19.3296058799
1165,7250000,7250000,2,2,2,VERTIZ NARVARTE,DEPARTAMENTO EN VENTA BENITO JUAREZ VERTIZ,BENITO JUAREZ,19.3296058799,19.3296058799
1167,2570000,2570000,1,1,1,NOCHE BUENA,DEPARTAMENTO EN VENTA EN BENITO JUAREZ NAPOLES,BENITO JUAREZ,19.3296058799,19.3296058799
1168,5575000,5575000,2,2,1,CUAUHTEMOC,DEPARTAMENTO EN VENTA REFORMA CUAUHTEMOC,CUAUHTEMOC,19.3200700913,19.3200700913
