,price,square_meters,bedrooms,bathrooms,parking_spaces,address,description,colony,latitude,longitude
355,1910000,1910000,1,1,0,STA MARIA LA RIBERA,"DEPARTAMENTO EN VENTA, T14 LUXURY APARTMENTS EN SANTA MARIA LA RIBERA CUAUHTEMOC CDMX, 1 RECAMARA.",CUAUHTEMOC,19.3200700913,19.3200700913
356,2650000,2650000,2,2,1,STA MARIA LA RIBERA,"DEPARTAMENTO EN VENTA T14 LUXURY APARTMENTS EN SANTA MARIA LA RIBERA CUAUHTEMOC, CDMX, 2 RECAMARAS.",CUAUHTEMOC,19.3200700913,19.3200700913
357,5290000,5290000,2,2,2,VERONICA ANZURES,"DEPARTAMENTO EN VENTA EN DISTUM, ANZURES, 2 RECAMARAS.",VERONICA ANZURES,19.4364110927,19.4364110927
358,3720000,3720000,1,1,1,VERONICA ANZURES,"DEPARTAMENTO EN VENTA EN DISTUM, ANZURES, 1 RECAMARA.",VERONICA ANZURES,19.4364110927,19.4364110927
359,6540000,6540000,2,2,2,VERONICA ANZURES,"DEPARTAMENTO EN VENTA EN DISTUM, ANZURES, 2 RECAMARAS.",VERONICA ANZURES,19.4364110927,19.4364110927
360,5040000,5040000,3,2,2,VERONICA ANZURES,"DEPARTAMENTO EN VENTA EN DISTUM, ANZURES, 3 RECAMARAS.",VERONICA ANZURES,19.4364110927,19.4364110927
361,4940000,4940000,2,2,2,VERONICA ANZURES,"DEPARTAMENTO EN VENTA EN DISTUM, ANZURES, 2 RECAMARAS.",VERONICA ANZURES,19.4364110927,19.4364110927
362,3300000,3300000,1,2,1,VERONICA ANZURES,"DEPARTAMENTO EN VENTA EN DISTUM, ANZURES, 1 RECAMARA.",VERONICA ANZURES,19.4364110927,19.4364110927
363,3270000,3270000,1,1,1,VERONICA ANZURES,"DEPARTAMENTO EN PREVENTA EN DISTUM, ANZURES, 1 RECAMARA.",VERONICA ANZURES,19.4364110927,19.4364110927
364,6420000,6420000,2,2,2,VERONICA ANZURES,"DEPARTAMENTO EN VENTA EN DISTUM, ANZURES, 2 RECAMARAS.",VERONICA ANZURES,19.4364110927,19.4364110927
365,4390000,4390000,2,2,2,VERONICA ANZURES,"DEPARTAMENTO EN VENTA EN DISTUM, ANZURES, 2 RECAMARAS.",VERONICA ANZURES,19.4364110927,19.4364110927
366,4340000,4340000,2,2,2,VERONICA ANZURES,"DEPARTAMENTO EN VENTA EN DISTUM, ANZURES, 2 RECAMARAS.",VERONICA ANZURES,19.4364110927,19.4364110927
367,3460000,3460000,1,1,1,VERONICA ANZURES,"DEPARTAMENTO EN VENTA EN DISTUM, ANZURES, 1 RECAMARA.",VERONICA ANZURES,19.4364110927,19.4364110927
371,3038132,3038132,2,2,2,SAN PEDRO XALPA,CALZADA SAN ISIDRO SAN PEDRO XALPA,XALPA,19.3111259961,19.3111259961
375,4980000,4980000,2,2,2,GRANADA,VENTA DEPARTAMENTO 2 RECAMARAS EN PARQUES POLANCO CON 2 TERRAZAS,GRANADA,19.4399132456,19.4399132456
376,7850000,7850000,3,2,2,ANAHUAC I SECC,VENTA DEPARTAMENTO EN BE GRAND ALTO POLANCO TORRE 3 (3 RECS.): A ESTRENAR,ANAHUAC I,19.4471950354,19.4471950354
381,3990000,3990000,2,2,2,ANAHUAC I SECC,EXCELENTE DEPARTAMENTO EN VENTA EN TORRE CAPITOLIO.,ANAHUAC I,19.4471950354,19.4471950354
382,7890000,7890000,4,3,4+,SAN LORENZO ATEMOAYA,HERMOSA Y AMPLIA CASA RODEADA DE NATURALEZA AL SUR DE LA CIUDAD,SAN LORENZO,19.2791265995,19.2791265995
384,4500000,4500000,2,2,0,TORRE BLANCA,PROPIEDAD EN LAGO IZABAL,TORRE BLANCA,19.4574907732,19.4574907732
385,54500000,54500000,6+,4+,4+,JARDINES DEL PEDREGAL,JARDINES DEL PEDREGAL,JARDINES DEL PEDREGAL,19.3059286486,19.3059286486
391,6100000,6100000,5,3,3,EL SIFON,OPORTUNIDAD CASA EN VENTA,EL SIFON,19.3714995589,19.3714995589
392,3100000,3100000,3,3,2,COL DEL GAS,"DEPARTAMENTO EN VENTA EN PARQUE JARDIN, COL. DEL GAS, 3 RECAMARAS.",DEL GAS,19.4703443076,19.4703443076
393,1850000,1850000,2,1,1,COAPA,"VENDE DEPARTAMENTO, 2 RECAMARAS, EX HACIENDA COAPA, TLALPAN",EX HACIENDA COAPA,19.3101593873,19.3101593873
408,38900000,38900000,3,4+,0,LOMAS DE BEZARES,"EN EXCLUSIVA LOMAS DE BEZARES, EXCELENTE CASA A LA VENTA EN CALLE LADERA (AO)",LOMAS DE BEZARES,19.3924448773,19.3924448773
416,2142000,2142000,2,1,1,MOCTEZUMA 2DA SECC,"DEPARTAMENTO EN PREVENTA EN IDILICA VIAS 7, VENUSTIANO CARRANZA, CDMX 2 RECAMARAS.",VENUSTIANO CARRANZA,19.43921016,19.43921016
426,32000000,32000000,4,4+,4+,BOSQUES DE LAS LOMAS,CASA EN VENTA EN BOSQUES DE LAS LOMAS,BOSQUES DE LAS LOMAS,19.4035606676,19.4035606676
427,2428000,2428000,2,2,1,COL DEL GAS,"DEPARTAMENTO EN VENTA EN VISTA ALTA  EN AZCAPOTZALCO, CDMX 2 RECAMARAS.",DEL GAS,19.4703443076,19.4703443076
428,3097000,3097000,2,2,1,COL DEL GAS,"DEPARTAMENTO EN VENTA EN VISTA ALTA  EN AZCAPOTZALCO, CDMX 2 RECAMARAS.",DEL GAS,19.4703443076,19.4703443076
429,8890000,8890000,2,3,1,ROMA SUR,DEPARTAMENTO EN VENTA EN HIPODROMO CONDESA CUAUHTEMOC,HIPODROMO CONDESA,19.4093352026,19.4093352026
430,5500000,5500000,4,3,1,NAPOLES,VENTA DE DEPARTAMENTO NAPOLES BENITO JUAREZ,BENITO JUAREZ,19.3296058799,19.3296058799
431,2150000,2150000,2,1,1,LAGUNILLA,VENTA DE DEPARTAMENTO CENTRO CUAUHTEMOC,CUAUHTEMOC,19.3200700913,19.3200700913
432,4590000,4590000,2,2,3,XOCO,DEPARTAMENTO EN VENTA EN XOCO EN ATMOSFERA COYOACAN BENITO JUAREZ,BENITO JUAREZ,19.3296058799,19.3296058799
433,2532770,2532770,2,2,2,PORTALES NTE,VENTA DEPARTAMENTO EN  PORTALES BENITO JUAREZ NUEVO,BENITO JUAREZ,19.3296058799,19.3296058799
434,8300000,8300000,3,2,2,LOMAS DE LAS AGUILAS,SUR LAS AGUILAS CASA EN VENTA,LOMAS DE LAS AGUILAS,19.3465007437,19.3465007437
436,4376300,4376300,3,2,2,NARVARTE PONIENTE,"DEPARTAMENTO EN VENTA EN VIVALTO  EN BENITO JUAREZ, CDMX 3 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
437,4216000,4216000,2,2,1,SAN JOSE INSURGENTES,DEPARTAMENTO EN VENTA EN AVENIDA REVOLUCION,SAN JOSE,19.2716370692,19.2716370692
439,3960000,3960000,3,2,3,SANTIAGO SUR,CASA EN VENTA EN IZTACALCO CIUDAD DE MEXICO,SANTIAGO SUR,19.3877008951,19.3877008951
441,4170000,4170000,3,2,2,NARVARTE PONIENTE,"DEPARTAMENTO EN VENTA EN VIVALTO  EN BENITO JUAREZ, CDMX 3 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
442,488200,488200,3,3,2,JUAREZ,"CASAS DESDE $690,000 DEPARTAMENTOS DESDE $,488 200 2 Y 3 RECAMARAS A 40 MIN DE LA CDMX",JUAREZ,19.4270038256,19.4270038256
446,8300000,8300000,3,2,2,LETRAN VALLE,"CASA EN LETRAN VALLE,  MITLA  3 RECAMARAS",LETRAN VALLE,19.3761321539,19.3761321539
447,2700000,2700000,2,2,1,COAPA,"DEPARTAMENTO EN TENORIOS, RESIDENCIAL MIRAMONTES",TENORIOS,19.3315376788,19.3315376788
448,3300000,3300000,2,1,1,CODIGO 2,"DEPARTAMENTO EN ROMA SUR, HERMOSILLO 9",HERMOSILLO,19.3477290785,19.3477290785
457,4964750,4964750,3,3,2,COLTONGO,"DEPARTAMENTO EN VENTA EN VIDA VALLEJO, COLTONGO, 3 RECAMARAS",COLTONGO,19.4825341796,19.4825341796
458,2406960,2406960,2,1,1,COLTONGO,"DEPARTAMENTO EN VENTA EN VIDA VALLEJO, COLTONGO, 2 RECAMARAS",COLTONGO,19.4825341796,19.4825341796
459,2328536,2328536,2,2,1,COLTONGO,"DEPARTAMENTO EN VENTA EN VIDA VALLEJO, COLTONGO, 2 RECAMARAS",COLTONGO,19.4825341796,19.4825341796
463,2242213,2242213,2,2,1,COLTONGO,"DEPARTAMENTO EN VENTA EN VIDA VALLEJO, COLTONGO, 2 RECAMARAS",COLTONGO,19.4825341796,19.4825341796
464,2158204,2158204,2,1,1,COLTONGO,"DEPARTAMENTO EN VENTA EN VIDA VALLEJO, COLTONGO, 2 RECAMARAS",COLTONGO,19.4825341796,19.4825341796
465,2409272,2409272,2,2,1,COLTONGO,"DEPARTAMENTO EN VENTA EN VIDA VALLEJO, COLTONGO, 2 RECAMARAS",COLTONGO,19.4825341796,19.4825341796
466,2361241,2361241,2,2,1,COLTONGO,"DEPARTAMENTO EN VENTA EN VIDA VALLEJO, COLTONGO, 2 RECAMARAS",COLTONGO,19.4825341796,19.4825341796
467,4456943,4456943,3,3,2,COLTONGO,"DEPARTAMENTO EN VENTA EN VIDA VALLEJO, COLTONGO, 3 RECAMARAS",COLTONGO,19.4825341796,19.4825341796
468,2898819,2898819,3,2,1,COLTONGO,"DEPARTAMENTO EN VENTA EN VIDA VALLEJO, COLTONGO, 3 RECAMARAS",COLTONGO,19.4825341796,19.4825341796
469,2591188,2591188,2,2,1,COLTONGO,"DEPARTAMENTO EN VENTA EN VIDA VALLEJO, COLTONGO, 2 RECAMARAS",COLTONGO,19.4825341796,19.4825341796
470,7300000,7300000,3,2,2,INDEPENDENCIA SAN RAMON,CASA EN VENTA CON 3 RECAMARAS EN SAN JERONIMO LIDICE,INDEPENDENCIA,19.3797733751,19.3797733751
471,4200000,4200000,3,3,1,PROGRESO,CASA DE 3 RECAMARAS EN VENTA EN COL. PROGRESO TIZAPAN,PROGRESO TIZAPAN,19.3398979151,19.3398979151
473,6500000,6500000,3,3,3,HEROES DE PADIERNA,DEPARTAMENTO EN VENTA CON 3 RECAMARAS EN HEROES DE PADIERNA,HEROES DE PADIERNA,19.3133186911,19.3133186911
480,2700000,2700000,2,2,1,INDEPENDENCIA,EN VENTA DEPARTAMENTO MAGNIFICA OPORTUNIDAD DE INVERSION,INDEPENDENCIA,19.3797733751,19.3797733751
483,3500000,3500000,1,1,1,ANZURES,HERSCHEL ANZURES,ANZURES,19.4314355481,19.4314355481
485,1505840,1505840,1,2,1,POPULAR RASTRO,"DEPARTAMENTO EN VENTA EN RESIDENCIAL DEL PARQUE, VENUSTIANO CARRANZA, CDMX, 1 RECAMARA",EL PARQUE,19.423313211,19.423313211
487,21500000,21500000,3,3,0,BOSQUES DE LAS LOMAS,"BOSQUES DE LAS LOMAS, CASA EN CONJUNTO A LA VENTA EN BOSQUES DE REFORMA (GR)",BOSQUES DE LAS LOMAS,19.4035606676,19.4035606676
497,32000000,32000000,3,3,0,LOMAS DE VISTA HERMOSA,"BOSQUES DE LAS LOMAS, CASA EN PRIVADA A LA VENTA EN LOMA DE LA PALMA (DM)",BOSQUES DE LAS LOMAS,19.4035606676,19.4035606676
499,10400000,10400000,4,3,0,LOMAS DEL CHAMIZAL,CASA - LOMAS DE TECAMACHALCO,LOMAS DEL CHAMIZAL,19.3931123205,19.3931123205
506,5509500,5509500,2,2,2,LORETO Y CAMPAMENTO,"DEPARTAMENTO EN VENTA, NOB SAN JERONIMO, 2 RECAMARAS, 2 BANOS, 2 ESTACIONAMIENTOS",LORETO,19.340780261,19.340780261
507,4497000,4497000,3,2,2,MANZANASTITLA,"DEPARTAMENTO EN VENTA, ENTTORNO RESIDENCIAL,  3 RECAMARAS, 2 BANOS, 2 ESTACIONAMIENTOS.",MANZANASTITLA,19.3664358227,19.3664358227
510,5300000,5300000,3,2,0,CUAJIMALPA,"CUAJIMALPA, CASA EN CONDOMINIO NUEVA, A LA VENTA EN PRIVADA ANCONA (JS)",LA VENTA,19.3196157598,19.3196157598
512,89000000,89000000,4,4+,0,MEXICO D.F.,"CASA EN CONDOMINIO A LA VENTA EN CUMBRES SANTA FE, TERRAZA Y JARDIN (JS)",SANTA FE,19.3892631023,19.3892631023
513,2142000,2142000,2,1,1,MOCTEZUMA 2DA SECC,"DEPARTAMENTO EN PREVENTA EN IDILICA VIAS 7, VENUSTIANO CARRANZA, CDMX 2 RECAMARAS.",VENUSTIANO CARRANZA,19.43921016,19.43921016
514,1980000,1980000,2,1,1,MOCTEZUMA 2DA SECC,"DEPARTAMENTO EN PREVENTA EN IDILICA VIAS 7, VENUSTIANO CARRANZA, CDMX 2 RECAMARAS.",VENUSTIANO CARRANZA,19.43921016,19.43921016
515,1960000,1960000,2,1,1,MOCTEZUMA 2DA SECC,"DEPARTAMENTO EN PREVENTA EN IDILICA VIAS 7, VENUSTIANO CARRANZA, CDMX 2 RECAMARAS.",VENUSTIANO CARRANZA,19.43921016,19.43921016
517,6300000,6300000,2,2,1,HIPODROMO,DEPARTAMENTO CONDESA BALCON,CONDESA,19.4147504858,19.4147504858
521,2765000,2765000,3,2,1,INDUSTRIAL,PREVENTA EN COLONIA INDUSTRIAL MUY CERCA DE LA BASILICA DE GUADALUPE CDMX,GUADALUPE,19.2137218593,19.2137218593
522,3580000,3580000,3,2,1,SAN PEDRO DE LOS PINOS,EN SAN PEDRO DE LO PINOS SOBRE AV REVOLUCION CDMX,REVOLUCION,19.439002299,19.439002299
523,3346925,3346925,2,2,0,AMERICAS UNIDAS,"DEPARTAMENTO EN VENTA A UN COSTADO DE LA NARVARTE, BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
524,3800000,3800000,3,2,0,COL DEL VALLE SUR,"SE VENDE DEPARTAMENTO COL. DEL VALLE SUR , BENITO JUAREZ,  JOSE MARIA RICO CDMX",BENITO JUAREZ,19.3296058799,19.3296058799
525,3210000,3210000,2,2,0,PORTALES SUR,"DEPARTAMENTO EN VENTA COLONIA PORTALES ALCALDIA BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
528,8450000,8450000,2,2,0,COL. RENACIMIENTO,"DEPARTAMENTO EN VENTA EN COLONIA CUAUHTEMOC, CUAUHTEMOC, CIUDAD DE MEXICO",CUAUHTEMOC,19.3200700913,19.3200700913
529,3900000,3900000,4,2,2,LA NORIA,"OPORTUNIDAD TEPEPAN, XOCHIMILCO, LA NORIA CASA EN VENTA",LA NORIA,19.262957816,19.262957816
530,13650000,13650000,5,4+,2,FUENTES DEL PEDREGAL,"VENDO AMPLIA CASA EN FUENTES DEL PEDREGAL, TLAPLAN",FUENTES DEL PEDREGAL,19.3038504522,19.3038504522
533,1999000,1999000,2,1,0,DOCTORES,"DEPARTAMENTO EN VENTA, COLONIA DOCTORES, ALCALDIA CUAUHTEMOC, CDMX",CUAUHTEMOC,19.3200700913,19.3200700913
534,5195000,5195000,2,2,0,ESCANDON I SECC,"DEPARTAMENTO EN VENTA COL HIPODROMO CONDESA, CUAUHTEMOC, CIUDAD DE MEXICO",ESCANDON I,19.4040332209,19.4040332209
535,10500000,10500000,2,2,0,JARDINES DEL PEDREGAL,"DEPARTAMENTO EN VENTA EN BE GRAND PEDREGAL, ALVARO OBREGON, CIUDAD DE MEXICO",JARDINES DEL PEDREGAL,19.3059286486,19.3059286486
536,4375438,4375438,2,2,1,PORTALES SUR,"DEPARTAMENTO EN VENTA EN VISTA HERMOSA 97, PORTALES SUR, 2 RECAMARAS",VISTA HERMOSA,19.548099968,19.548099968
537,5577085,5577085,2,2,1,PORTALES SUR,"DEPARTAMENTO EN VENTA EN VISTA HERMOSA 97, PORTALES SUR, 2 RECAMARAS.",VISTA HERMOSA,19.548099968,19.548099968
538,4206472,4206472,2,2,1,PORTALES SUR,"DEPARTAMENTO EN VENTA EN VISTA HERMOSA 97, PORTALES SUR, 2 RECAMARAS",VISTA HERMOSA,19.548099968,19.548099968
539,5479577,5479577,2,2,2,PORTALES SUR,"DEPARTAMENTO EN VENTA EN VISTA HERMOSA 97, PORTALES SUR, 2 RECAMARAS",VISTA HERMOSA,19.548099968,19.548099968
540,4171835,4171835,2,2,1,PORTALES SUR,"DEPARTAMENTO EN VENTA EN VISTA HERMOSA 97, PORTALES SUR, 2 RECAMARAS",VISTA HERMOSA,19.548099968,19.548099968
541,5381326,5381326,2,2,1,PORTALES SUR,"DEPARTAMENTO EN VENTA EN VISTA HERMOSA 97, PORTALES SUR, 2 RECAMARAS",VISTA HERMOSA,19.548099968,19.548099968
542,5300000,5300000,3,3,0,LOMA DE SAN PEDRO,"CASA EN CONDOMINIO EN VENTA ZONA SANTA FE, LOMAS DE SAN PEDRO, CUAJIMALPA, CDMX",SANTA FE,19.3892631023,19.3892631023
543,3010000,3010000,2,2,0,PORTALES ORIENTE,"DEPARTAMENTO EN VENTA  COL. PORTALES ORIENTE, BENITO JUAREZ, CDMX",BENITO JUAREZ,19.3296058799,19.3296058799
545,3800000,3800000,4,1,2,SAN JUAN XALPA,"CASA EN VENTA EN LOMAS ESTRELLA, OPORTUNIDAD",ESTRELLA,19.4749871497,19.4749871497
547,3001075,3001075,2,2,0,STA MARIA LA RIBERA,"DEPARTAMENTO EN VENTA EN  SANTA MARIA LA RIBERA, CUAUHTEMOC , CDMX",CUAUHTEMOC,19.3200700913,19.3200700913
548,2222228,2222228,2,1,0,STA MARIA LA RIBERA,"DEPARTAMENTO EN PREVENTA EN SANTA MARIA LA RIBERA, CUAUHTEMOC, CDMX",CUAUHTEMOC,19.3200700913,19.3200700913
549,12680000,12680000,4,3,0,CAMINO REAL DE TETELPAN,"SE VENDE CASA EN REAL DE TETELPAN, ALVARO OBREGON, CIUDAD DE MEXICO",ALVARO OBREGON,19.4127921222,19.4127921222
550,3030000,3030000,2,2,1,ALAMOS,DEPARTAMENTO EN VENTA EN XOLA ASTURIAS,ASTURIAS,19.4046308544,19.4046308544
551,2560000,2560000,2,1,1,MIGUEL ALEMAN,DEPTO EN COLONIA MIGUEL ALEMAN BENITO JUAREZ,BENITO JUAREZ,19.3296058799,19.3296058799
555,9764300,9764300,2,2,2,AMP GRANADA,"DEPARTAMENTO EN VENTA EN NUPOL, GRANADA, 2 RECAMARAS.",GRANADA,19.4399132456,19.4399132456
556,6513400,6513400,2,2,2,AMP GRANADA,"DEPARTAMENTO EN VENTA EN NUPOL, GRANADA, 2 RECAMARAS.",GRANADA,19.4399132456,19.4399132456
559,6120000,6120000,3,4+,2,MANZANASTITLA,VENDO CASA DE 3 RECAMARAS EN CUAJIMALPA CDMX.,MANZANASTITLA,19.3664358227,19.3664358227
560,5900000,5900000,3,3,2,PUEBLO NUEVO BAJO,CASA EN CONDOMINIO CON 3 RECAMARAS A 15 MINUTOS DEL HOSPITAL ANGELES DEL PEDREGAL.,PUEBLO NUEVO BAJO,19.306936172,19.306936172
562,5350000,5350000,3,3,2,MANZANASTITLA,VENDO CASA DE 3 RECAMARAS EN CUAJIMALPA  CDMX,MANZANASTITLA,19.3664358227,19.3664358227
564,16900000,16900000,4,4+,3,CD. DE LOS DEPORTES,VENDO  CASA CON 4 RECAMARAS EN CIUDAD DE LOS DEPORTES DELEGACION  BENITO JUAREZ CDMX,BENITO JUAREZ,19.3296058799,19.3296058799
565,20880000,20880000,3,3,0,LOMAS QUEBRADAS,"CASA EN VENTA EN SAN JERONIMO, EN MAGDALENA CONTRERAS, CIUDAD DE MEXICO",LOMAS QUEBRADAS,19.3152774944,19.3152774944
566,5620800,5620800,2,2,2,AMP GRANADA,"DEPARTAMENTO EN VENTA EN NUPOL, GRANADA, 2 RECAMARAS.",GRANADA,19.4399132456,19.4399132456
570,2450000,2450000,2,1,1,PORTALES NTE,DEPARTAMENTO VENTA 2 RECAMARAS COL PORTALES NORTE ALCALDIA BENITO JUAREZ,BENITO JUAREZ,19.3296058799,19.3296058799
571,800000,800000,2,1,0,PERALVILLO,DEPARTAMENTO A 10 MINUTOS  CENTRO DE LA CIUDAD COL PERALVILLO ALCALDIA CUAUHTEMOC,CUAUHTEMOC,19.3200700913,19.3200700913
572,1000000,1000000,2,1,0,PERALVILLO,DEPARTAMENTO VENTA CERCA DE CENTRO DE CIUDAD COL PERALVILLO ALCALDIA CUAUHTEMOC,CUAUHTEMOC,19.3200700913,19.3200700913
573,8100000,8100000,2,2,0,COL. RENACIMIENTO,"DEPARTAMENTO EN VENTA EN CUAUHTEMOC, CDMX, CON TERRAZA PROPIA",CUAUHTEMOC,19.3200700913,19.3200700913
574,4900000,4900000,2,2,0,ESCANDON I SECC,"DEPARTAMENTO  EN PREVENTA, COLONIA ESCANDON, MIGUEL HIDALGO, CIUDAD DE MEXICO",ESCANDON I,19.4040332209,19.4040332209
575,6300000,6300000,2,2,1,HIPODROMO,DEPARTAMENTO CONDESA BALCON,CONDESA,19.4147504858,19.4147504858
578,4900000,4900000,2,2,0,ESCANDON I SECC,"DEPARTAMENTO  EN PREVENTA, COLONIA ESCANDON, MIGUEL HIDALGO, CIUDAD DE MEXICO",ESCANDON I,19.4040332209,19.4040332209
579,4990000,4990000,1,1,0,REFORMA SOC,"DEPARTAMENTO TIPO LOFT EN VENTA TECAMACHALCO ,MIGUEL HIDALGO, CDMX",MIGUEL HIDALGO,19.4359898482,19.4359898482
580,13900000,13900000,3,2,0,LOS ALPES,"CASA EN VENTA EN AVENIDA LAS FLORES, COL. CAMPESTRE, ALCALDIA ALVARO OBREGON, CIUDAD DE MEXICO",ALVARO OBREGON,19.4127921222,19.4127921222
581,7900000,7900000,3,2,0,LOMAS DE CHAPULTEPEC VI SECC,"DEPARTAMENTO EN VISTA VERDE EN VENTA, MIGUEL HIDALGO, CIUDAD DE MEXICO",MIGUEL HIDALGO,19.4359898482,19.4359898482
582,3450000,3450000,2,2,0,ALAMOS,"VENTA DE DEPARTAMENTO NUEVO EN COLONIA ALAMOS, BENITO JUAREZ CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
583,12500000,12500000,3,4+,0,SAN JOSE INSURGENTES,"DEPARTAMENTO EN VENTA UBICADO EN SAN JOSE INSURGENTES, BENITO JUAREZ, CDMX",BENITO JUAREZ,19.3296058799,19.3296058799
584,3600000,3600000,2,2,0,MODELO PENSIL,"DEPARTAMENTO NUEVO EN VENTA COLONIA ANAHUAC DELEGACION MIGUEL HIDALGO, CIUDAD DE MEXICO",MODELO PENSIL,19.4464153475,19.4464153475
585,3010000,3010000,2,2,0,PORTALES ORIENTE,"DEPARTAMENTO EN VENTA EN COLONIA PORTALES, BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
586,1549108,1549108,1,1,0,POSTAL,DEPARTAMENTO EN LA COL. POSTAL ALCALDIA BENITO JUAREZ,BENITO JUAREZ,19.3296058799,19.3296058799
587,3160300,3160300,1,1,2,ADOLFO LOPEZ MATEOS,"DEPARTAMENTO EN PREVENTA EN CUAJIMALPA DE MORELOS, 1 RECAMARA",ADOLFO LOPEZ MATEOS,19.4200520013,19.4200520013
588,4560300,4560300,2,2,2,ADOLFO LOPEZ MATEOS,"DEPARTAMENTO EN PREVENTA  EN CUAJIMALPA DE MORELOS, 2 RECAMARAS",ADOLFO LOPEZ MATEOS,19.4200520013,19.4200520013
589,3556400,3556400,2,2,2,ADOLFO LOPEZ MATEOS,"DEPARTAMENTO EN PREVENTA  EN CUAJIMALPA DE MORELOS, 2 RECAMARAS",ADOLFO LOPEZ MATEOS,19.4200520013,19.4200520013
590,4255100,4255100,2,2,2,ADOLFO LOPEZ MATEOS,"DEPARTAMENTO EN PREVENTA  EN CUAJIMALPA DE MORELOS, 2 RECAMARAS",ADOLFO LOPEZ MATEOS,19.4200520013,19.4200520013
593,4200000,4200000,3,2,1,TACUBA,"ESPECTACULAR PH EN MAR MEDITERRANEO, TACUBA",TACUBA,19.4563586061,19.4563586061
594,4158000,4158000,2,2,1,SAN JOSE INSURGENTES,"DEPARTAMENTO EN VENTA EN ALURE SAN JOSE INSURGENTES, SAN JOSE INSURGENTES, 2 RECAMARAS",SAN JOSE,19.2716370692,19.2716370692
595,7870000,7870000,3,3,0,LOMAS DE VISTA HERMOSA,"DEPARTAMENTO EN VENTA , ALCALDIA CUAJIMALPA DE MORELOS, COLONIA SANTA FE, CIUDAD DE MEXICO",VISTA HERMOSA,19.548099968,19.548099968
596,4390000,4390000,2,2,0,NARVARTE PONIENTE,"DEPARTAMENTO EN VENTA EN NARVARTE, BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
597,2319515,2319515,1,1,0,ROMA NTE.,"DEPARTAMENTO EN PREVENTA EN ROMA NORTE, CUAUHTEMOC, CDMX",CUAUHTEMOC,19.3200700913,19.3200700913
599,4700000,4700000,2,2,1,PORTALES SUR,"DEPARTAMENTO  EN VENTA EN SEVILLA 815 EN  BENITO JUAREZ,  CDMX,  3 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
600,12757945,12757945,3,4+,2,ANZURES,DEPARTAMENTO EN VENTA COLONIA ANZURES,ANZURES,19.4314355481,19.4314355481
601,1798300,1798300,1,1,0,PENSADOR MEXICANO,"DEPARTAMENTO EN PREVENTA EN SIBERIA, VENUSTIANO CARRANZA, CIUDAD DE MEXICO",VENUSTIANO CARRANZA,19.43921016,19.43921016
602,4842000,4842000,2,2,1,SAN JOSE INSURGENTES,"DEPARTAMENTO EN VENTA EN ALURE SAN JOSE INSURGENTES, SAN JOSE INSURGENTES, 2 RECAMARAS CON ESTUDIO",SAN JOSE,19.2716370692,19.2716370692
603,3915000,3915000,1,2,1,SAN JOSE INSURGENTES,"DEPARTAMENTO EN VENTA EN ALURE SAN JOSE INSURGENTES, SAN JOSE INSURGENTES, 1 RECAMARA CON BALCON",SAN JOSE,19.2716370692,19.2716370692
604,3906000,3906000,1,1,1,SAN JOSE INSURGENTES,"DEPARTAMENTO EN VENTA EN ALURE SAN JOSE INSURGENTES, SAN JOSE INSURGENTES, 1 RECAMARA CON BALCON",SAN JOSE,19.2716370692,19.2716370692
606,14200000,14200000,3,4+,0,ANZURES,"DEPARTAMENTO EN VENTA EN COL. ANZURES, CDMX.",ANZURES,19.4314355481,19.4314355481
608,5500000,5500000,3,3,0,PROGRESO,"CASA EN VENTA, COL. PROGRESO, ALVARO OBREGON, CIUDAD DE MEXICO",ALVARO OBREGON,19.4127921222,19.4127921222
609,13500000,13500000,6+,4+,0,FLORIDA,"CASA EN VENTA, COLONIA FLORIDA, ALCALDIA ALVARO OBREGON, CIUDAD DE MEXICO",ALVARO OBREGON,19.4127921222,19.4127921222
611,4179900,4179900,2,2,1,PORTALES SUR,"DEPARTAMENTO EN PREVENTA EN POPOCATEPETL 74, PORTALES SUR, 2 RECAMARAS.",POPO,19.4457823588,19.4457823588
612,3956600,3956600,2,2,1,PORTALES SUR,"DEPARTAMENTO EN PREVENTA EN POPOCATEPETL 74, PORTALES SUR, 2 RECAMARAS.",POPO,19.4457823588,19.4457823588
613,3364400,3364400,2,2,1,PORTALES SUR,"DEPARTAMENTO EN PREVENTA EN POPOCATEPETL 74, PORTALES SUR, 2 RECAMARAS.",POPO,19.4457823588,19.4457823588
614,3444900,3444900,2,2,1,PORTALES SUR,"DEPARTAMENTO EN PREVENTA EN POPOCATEPETL 74, PORTALES SUR, 2 RECAMARAS.",POPO,19.4457823588,19.4457823588
